letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
송편,송편,2,ㅅ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(27).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,27,).png
수갑,수갑,2,ㅅ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(28).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,28,).png
수건,수건,2,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(29).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,29,).png
수박,수박,2,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(30).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,30,).png
수영복,수영복,3,ㅅ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(31).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,31,).png
스케이트,스케이트,4,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(32).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,32,).png
스키,스키,2,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(33).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,33,).png
스티커,스티커,3,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(34).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,34,).png
슬리퍼,슬리퍼,3,ㅅ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(35).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,35,).png
시계,시게,2,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(36).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,36,).png
시소,시소,2,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(37).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,37,).png
식빵,식빵,2,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(38).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,38,).png
신문,신문,2,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(39).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,39,).png
신호등,신ː호등,3,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(40).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,40,).png
실로폰,실로폰,3,ㅅ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(41).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,41,).png
요리사,요리사,3,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(42).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,42,).png
우산,우산,2,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(43).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,43,).png
원숭이,원숭이,3,ㅅ,ㅅ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(44).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,44,).png
주사위,주사위,3,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(45).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,45,).png
참새,참새,2,ㅅ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(46).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,46,).png
청소기,청소기,3,ㅅ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(47).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,47,).png
카네이션,카네이션,4,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(48).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,48,).png
풍선,풍선 ,2,ㅅ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(49).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,49,).png
화살,화살,2,ㅅ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(50).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,50,).png
가스레인지,가쓰레인지,5,ㅆ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,1,).png
독수리,독쑤리,3,ㅆ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,2,).png
버스,버쓰,2,ㅆ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,3,).png
복숭아,복쑹아 ,3,ㅆ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,4,).png
새싹,새싹,2,ㅆ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,5,).png
샌드위치,쌘드위치,4,ㅆ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,6,).png
소시지,쏘시지,3,ㅆ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,7,).png
소파,쏘파,2,ㅆ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,8,).png
썬글라스,썬글라쓰,4,ㅆ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,9,).png
썰매,썰매,2,ㅆ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,10,).png
씨름,씨름,2,ㅆ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,11,).png
옥수수,옥쑤수,3,ㅆ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,12,).png
입술,입쑬,2,ㅆ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,13,).png
접시,접씨 ,2,ㅆ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,14,).png
젖소,젇쏘 ,2,ㅆ,ㅈ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,15,).png
주스,주쓰,2,ㅆ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,16,).png
칫솔,치쏠/칟쏠,2,ㅆ,ㅅ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,17,).png
코뿔소,코뿔쏘,3,ㅆ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(18).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,18,).png
택시,택씨,2,ㅆ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/tt/tt+(19).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,tt/tt+(,19,).png
