letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
바나나,바나나,3,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(27).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,27,).png
바늘,바늘,2,ㄴ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(28).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,28,).png
비누,비누,2,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(29).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,29,).png
선인장,서닌장,3,ㄴ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(30).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,30,).png
신호등,신ː호등,3,ㄴ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(31).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,31,).png
카네이션,카네이션,4,ㄴ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(32).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,32,).png
피노키오,피노키오,4,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(33).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,33,).png
피아노,피아노,3,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(34).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,34,).png
계단,계단,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,1,).png
계란,계란,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,2,).png
귀신,귀ː신,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,3,).png
기린,기린,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,4,).png
눈사람,눈ː싸람,3,ㄴ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,5,).png
단추,단추,2,ㄷ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,6,).png
단풍,단풍,2,ㄷ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,7,).png
당근,당근,2,ㄷ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,8,).png
돈,돈,1,ㄷ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,9,).png
레몬,레몬,2,ㄹ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,10,).png
