letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
립스틱,립쓰틱,3,ㄹ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(27).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,27,).png
마카롱,마카롱,3,ㄹ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(28).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,28,).png
목도리,목또리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(29).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,29,).png
바이올린,바이올린,4,ㄹ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(30).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,30,).png
병아리,병아리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(31).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,31,).png
불가사리,불가사리,4,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(32).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,32,).png
브로콜리,브로콜리,4,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(33).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,33,).png
블루베리,블루베리,4,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(34).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,34,).png
빗자루,비짜루,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(35).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,35,).png
사다리,사다리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(36).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,36,).png
실로폰,실로폰,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(37).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,37,).png
아이스크림,아이스크림,5,ㄹ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(38).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,38,).png
오렌지,오렌지,3,ㄹ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(39).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,39,).png
오리,오리,2,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(40).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,40,).png
유령,유령,2,ㄹ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(41).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,41,).png
잠자리,잠짜리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(42).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,42,).png
젓가락,저까락,3,ㄹ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(43).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,43,).png
지렁이,지:렁이,3,ㄹ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(44).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,44,).png
체리,체리,2,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(45).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,45,).png
